Dataset,Min,Max,Mean,Median,Variancy,Variancy Coefficient,Std,Asymmetry Coefficient
1,0.0,25.0,5.721958912037037,6.0,12.248420478741073,61.1639195707846,3.4997743468316744,-0.03274271918760923
3,0.0,105.0,0.42944733796296297,0.0,7.687909527266646,645.645631529828,2.7727079772790075,10.74513134539579
11,-1.0,1.0,-2.960594732333751e-18,6.123233995736766e-17,0.4999999999999996,-2.3883943771971633e+19,0.7071067811865472,-2.977360514244792e-18
12,0.0,3202.0,199.51012644675927,138.0,39895.813654978214,100.11490036488962,199.73936431003833,1.991395326634312
13,0.0,1539.0,238.79782609953705,202.0,32733.943586072735,75.76502937323136,180.92524308695218,0.9969689346136056
14,0.0,8639.0,4319.5,4319.5,6220799.916666667,57.741709600496506,2494.1531461934464,0.0
15,0.0,680.0,205.05191319444444,202.0,8872.538050969313,45.93673346647573,94.19415083204112,0.22405128780621056
16,0.0,543.0,32.84472193287037,23.0,1110.4686517427017,101.45829554431303,33.32369504935942,1.9983004074988056
17,0.0,6.0,0.8724641203703704,1.0,0.5941651549626524,88.34989008864625,0.7708210914100966,0.6264112451533956
18,0.0,562.0,90.2319921875,77.0,4574.390586742998,74.95594366280636,67.63424122989034,0.9600413631864804
19,1.0,243.0,1.006853587962963,1.0,0.13631356073944123,36.669349785353695,0.36920666399652274,390.7092820656926
20,4.0,32897.0,450.6946953125,7.0,5368901.13869096,514.1149785857341,2317.0889362928992,8.796429242771278
21,0.0,2.0,0.9713637152777778,1.0,0.6753920581047158,84.60501330861965,0.8218224005858661,0.0529848353326885
22,0.0,255.0,126.90972222222223,0.0,16255.901572145016,100.46403961524703,127.4986336089333,0.009259358489884366
23,0.0,255.0,43.437877604166665,0.0,9189.809578307922,220.69101850801877,95.863494502902,1.753787984294448
24,0.0,255.0,63.81434027777778,0.0,12200.38674574543,173.08861988218644,110.45536087372777,1.1531474655182563
25,0.0,1245.0,167.8902681208863,122.0,19727.263454654225,83.65808126028243,140.45377693267713,0.9347064873381798
26,0.0,1245.0,167.8902681208863,122.0,19727.26345465421,83.6580812602824,140.45377693267707,0.9347064873381782
27,0.08518654474827503,255.0,54.7802122310736,50.43645857619383,1218.648639281696,63.72583628121602,34.909148360876635,2.3385352484615045
28,19.065334809955644,255.0,103.19431480493157,101.27830720841882,2379.019190757235,47.26538512538335,48.77519032005139,0.8297729964548576
29,2.928611341464546,255.0,61.54959609734526,56.110534598693505,1143.6479292748602,54.94408769473248,33.81786405547902,1.554338765499699
30,-6.37690569370171,6.749713045236577,-0.0003118194133189255,-0.00035994804836789185,1.5886772052168694,-404217.1000474314,1.2604273899026748,-1.971463449013829e-05
31,0.0,255.0,59.20109403935185,53.0,1630.1982773331708,68.20095913705836,40.375713954469845,1.4665237644709295
32,0.0,255.0,122.40266116898148,127.0,3985.494011263083,51.57630441168429,63.13076913251638,0.19223509832975713
33,0.0,255.0,89.4279933449074,78.0,2973.7549458286576,60.978832182435326,54.532145985910525,0.7745538452484241
34,0.0,255.0,118.68215538194444,102.0,6088.1092349260925,65.74394992414204,78.026336803198,0.4525287089712231
35,0.0,255.0,131.48913599537036,134.0,2499.4519809317367,38.02178722257314,49.99451950895955,-0.11792985039420438
36,0.0,255.0,114.79919560185185,113.0,3523.200561274241,51.70467805263086,59.35655449294746,0.061776704711100965
37,0.0,255.0,153.10357986111111,155.0,1613.6749413512619,26.23751391943181,40.17057307720742,-0.3905641914393217
38,0.0,10.0,0.41177300347222223,0.0,2.284144687927299,367.032004155484,1.5113387072153281,4.222882911469713
39,0.0,10.0,0.3369036721380471,0.0,1.8964177906998791,408.7532942402221,1.3771048582805447,4.738788519124366
40,0.0,270.0,59.265596064814815,53.0,1647.2462058368371,68.48202616718822,40.586281005246555,1.4497419895064658
41,0.0,265.0,59.28911371527778,53.0,1655.8571537110265,68.63355206875364,40.69222473287773,1.4409989583621101
