,Dataset,Min,Max,Mean,Median,Variancy,Variancy Coefficient,Std,Asymmetry Coefficient
0,1,0.0,25.0,5.72,6.0,12.25,61.16,3.5,-0.03
1,3,0.0,105.0,0.43,0.0,7.69,645.65,2.77,10.75
2,11,-1.0,1.0,-0.0,0.0,0.5,-23883943771971637248.00,0.71,-0.0
3,12,0.0,3202.0,199.51,138.0,39895.81,100.11,199.74,1.99
4,13,0.0,1539.0,238.8,202.0,32733.94,75.77,180.93,1.0
5,14,0.0,8639.0,4319.5,4319.5,6220799.92,57.74,2494.15,0.0
6,15,0.0,680.0,205.05,202.0,8872.54,45.94,94.19,0.22
7,16,0.0,543.0,32.84,23.0,1110.47,101.46,33.32,2.0
8,17,0.0,6.0,0.87,1.0,0.59,88.35,0.77,0.63
9,18,0.0,562.0,90.23,77.0,4574.39,74.96,67.63,0.96
10,19,1.0,243.0,1.01,1.0,0.14,36.67,0.37,390.71
11,20,4.0,32897.0,450.69,7.0,5368901.14,514.11,2317.09,8.8
12,21,0.0,2.0,0.97,1.0,0.68,84.61,0.82,0.05
13,22,0.0,255.0,126.91,0.0,16255.9,100.46,127.5,0.01
14,23,0.0,255.0,43.44,0.0,9189.81,220.69,95.86,1.75
15,24,0.0,255.0,63.81,0.0,12200.39,173.09,110.46,1.15
16,25,0.0,1245.0,167.89,122.0,19727.26,83.66,140.45,0.93
17,26,0.0,1245.0,167.89,122.0,19727.26,83.66,140.45,0.93
18,27,0.09,255.0,54.78,50.44,1218.65,63.73,34.91,2.34
19,28,19.07,255.0,103.19,101.28,2379.02,47.27,48.78,0.83
20,29,2.93,255.0,61.55,56.11,1143.65,54.94,33.82,1.55
21,30,-6.38,6.75,-0.0,-0.0,1.59,-404217.10,1.26,-0.0
22,31,0.0,255.0,59.2,53.0,1630.2,68.20,40.38,1.47
23,32,0.0,255.0,122.4,127.0,3985.49,51.58,63.13,0.19
24,33,0.0,255.0,89.43,78.0,2973.75,60.98,54.53,0.77
25,34,0.0,255.0,118.68,102.0,6088.11,65.74,78.03,0.45
26,35,0.0,255.0,131.49,134.0,2499.45,38.02,49.99,-0.12
27,36,0.0,255.0,114.8,113.0,3523.2,51.70,59.36,0.06
28,37,0.0,255.0,153.1,155.0,1613.67,26.24,40.17,-0.39
29,38,0.0,10.0,0.41,0.0,2.28,367.03,1.51,4.22
30,39,0.0,10.0,0.34,0.0,1.9,408.75,1.38,4.74
31,40,0.0,270.0,59.27,53.0,1647.25,68.48,40.59,1.45
32,41,0.0,265.0,59.29,53.0,1655.86,68.63,40.69,1.44
