Dataset,Mean,Median,Variancy,Variation Coefficient,Std,Asymmetry Coefficient
1,0.23,0.24,0.02,61.16,0.14,-0.03
2,0.5,0.5,0.08,57.60,0.29,-0.0
3,0.0,0.0,0.0,645.65,0.03,10.75
4,0.5,0.5,0.08,57.74,0.29,-0.0
5,0.54,0.54,0.01,18.68,0.1,-0.0
6,0.52,0.52,0.01,17.84,0.09,-0.0
7,0.23,0.2,0.02,61.15,0.14,3.83
8,0.08,0.05,0.03,193.92,0.16,4.35
9,0.04,0.01,0.03,388.21,0.17,4.38
10,0.51,0.51,0.01,19.89,0.1,0.0
11,0.5,0.5,0.12,70.71,0.35,0.0
12,0.06,0.04,0.0,100.11,0.06,1.99
13,0.16,0.13,0.01,75.77,0.12,1.0
14,0.5,0.5,0.08,57.74,0.29,-0.0
15,0.3,0.3,0.02,45.94,0.14,0.22
16,0.06,0.04,0.0,101.46,0.06,2.0
17,0.15,0.17,0.02,88.35,0.13,0.63
18,0.16,0.14,0.01,74.96,0.12,0.96
19,0.0,0.0,0.0,5387.06,0.0,390.71
20,0.01,0.0,0.0,518.72,0.07,8.8
21,0.49,0.5,0.17,84.61,0.41,0.05
22,0.5,0.0,0.25,100.46,0.5,0.01
23,0.17,0.0,0.14,220.69,0.38,1.75
24,0.25,0.0,0.19,173.09,0.43,1.15
25,0.5,0.5,0.01,20.24,0.1,0.0
26,0.5,0.5,0.08,57.74,0.29,0.0
27,0.21,0.2,0.02,63.83,0.14,2.34
28,0.36,0.35,0.04,57.98,0.21,0.83
29,0.23,0.21,0.02,57.69,0.13,1.55
30,0.49,0.49,0.01,19.77,0.1,-0.0
31,0.23,0.21,0.03,68.20,0.16,1.47
32,0.48,0.5,0.06,51.58,0.25,0.19
33,0.35,0.31,0.05,60.98,0.21,0.77
34,0.47,0.4,0.09,65.74,0.31,0.45
35,0.52,0.53,0.04,38.02,0.2,-0.12
36,0.45,0.44,0.05,51.70,0.23,0.06
37,0.6,0.61,0.02,26.24,0.16,-0.39
38,0.04,0.0,0.02,367.03,0.15,4.22
39,0.03,0.0,0.02,408.75,0.14,4.74
40,0.22,0.2,0.02,68.48,0.15,1.45
41,0.22,0.2,0.02,68.63,0.15,1.44
42,0.5,0.5,0.08,57.60,0.29,-0.0
43,0.5,0.5,0.08,57.74,0.29,0.0
44,0.52,0.53,0.04,38.02,0.2,-0.12
45,0.49,0.47,0.08,57.87,0.28,0.08
46,0.5,0.5,0.08,57.63,0.29,-0.0
47,0.5,0.5,0.08,57.70,0.29,0.0
48,0.5,0.5,0.08,57.72,0.29,0.0
49,0.5,0.5,0.08,57.77,0.29,0.0
50,0.2,0.18,0.01,59.22,0.12,2.24
